Amount Converted (USD),-,Convert values in Col E associated with their respective currency in Col D. Round the output.,,,,,,,,,,,,,
"Action 1. Using the data provided below, add helper columns from col K to col P to compute the headers?",,,,,,,,,,,,,,,
Row 6 is provided as sample data.,,,,,,,,,,,,,,,
Month,-,mmm-yy format,,,,,,,,,,,,,
Week,-,Week of the month,,,,,,,,,,,,,
Quarter,-,yy_Quarter m,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Record ID (18char),Project Name,Opp Close Date,Currency,Amount,Total Line Items,Total Closed Live Product Item,Total Closed Dropped Item,Duration of the Project,Opp Created Date,"Amount Converted
(USD)",Opp Created Month,Opp Created Quarter,Close Won Week,Close Won Month,Close Won Quarter
0065j00001XCAv7AAH,O-02503,05/01/2024,AED,238.75,1,1,0,52,04/12/2023,65.05,Dec-23,23_Quarter 4,Week 1,Jan-24,24_Quarter 1
0065j00000m991iAAA,O-02598,29/02/2024,INR,25000,75,0,75,84,01/08/2022,301.2,Aug-22,22_Quarter 3,Week 5,Feb-24,24_Quarter 1
0065j00001Y9cqjAAB,O-02621,08/01/2024,GBP,50,1,1,0,129,14/12/2023,63.5,Dec-23,23_Quarter 4,Week 2,Jan-24,24_Quarter 1
0065j00001ViHniAAF,O-02694,04/01/2024,INR,1166.66,1,1,0,69,16/11/2023,14.06,Nov-23,23_Quarter 4,Week 1,Jan-24,24_Quarter 1
0065j00001ViHniAAF,O-02694,04/01/2024,INR,1166.66,1,1,0,69,16/11/2023,14.06,Nov-23,23_Quarter 4,Week 1,Jan-24,24_Quarter 1
0065j00001ViHniAAF,O-02694,04/01/2024,INR,1166.66,1,1,0,69,16/11/2023,14.06,Nov-23,23_Quarter 4,Week 1,Jan-24,24_Quarter 1
0065j00001ViHniAAF,O-02694,04/01/2024,INR,1166.66,1,1,0,69,16/11/2023,14.06,Nov-23,23_Quarter 4,Week 1,Jan-24,24_Quarter 1
0065j00001ViHniAAF,O-02694,04/01/2024,INR,1166.66,1,1,0,69,16/11/2023,14.06,Nov-23,23_Quarter 4,Week 1,Jan-24,24_Quarter 1
0065j00001ViHniAAF,O-03719,04/01/2024,INR,1166.66,15,2,13,7,16/11/2023,14.06,Nov-23,23_Quarter 4,Week 1,Jan-24,24_Quarter 1
0065j00001ViHniAAF,O-03719,04/01/2024,INR,1166.66,1,0,1,7,16/11/2023,14.06,Nov-23,23_Quarter 4,Week 1,Jan-24,24_Quarter 1
0065j00001YpxqqAAB,O-02704,03/01/2024,USD,50,1,1,0,168,21/12/2023,50,Dec-23,23_Quarter 4,Week 1,Jan-24,24_Quarter 1
0065j00001VxzUUAAZ,O-02738,02/01/2024,INR,2083.33,1,1,0,108,20/11/2023,25.1,Nov-23,23_Quarter 4,Week 1,Jan-24,24_Quarter 1
0065j00001VxzUUAAZ,O-02738,02/01/2024,INR,2083.33,1,0,1,108,20/11/2023,25.1,Nov-23,23_Quarter 4,Week 1,Jan-24,24_Quarter 1
0065j00001VxzUUAAZ,O-02738,02/01/2024,INR,2083.33,1,0,1,108,20/11/2023,25.1,Nov-23,23_Quarter 4,Week 1,Jan-24,24_Quarter 1
0065j00001VxzUUAAZ,O-02738,02/01/2024,INR,2083.33,1,0,1,108,20/11/2023,25.1,Nov-23,23_Quarter 4,Week 1,Jan-24,24_Quarter 1
0065j00001VxzUUAAZ,O-02738,02/01/2024,INR,2083.33,15,3,12,108,20/11/2023,25.1,Nov-23,23_Quarter 4,Week 1,Jan-24,24_Quarter 1
